Class,Length ,Width,Ratio,Tip angle,Base angle,sec. veins angle,Girth,No. veins
0,25.3,25.4,0.996062992,147,342,42,103.1,30
0,27.6,27.1,1.018450185,138,318,40,102.4,30
0,29,28.8,1.006944444,153,333,38,103.8,28
0,24.1,23.9,1.008368201,145,325,43,101.5,30
0,25.5,25.6,0.99609375,143,323,41,103.2,32
0,30,29,1.034482759,160,338,40,103.8,32
0,27.8,27.8,1,161,342,40,102.8,32
0,25.7,25.4,1.011811024,163,336,41,103.3,28
0,27.8,27.5,1.010909091,160,341,40,109.7,30
0,27.5,27.2,1.011029412,160,332,42,102.3,30
0,27.8,27.7,1.003610108,162,345,41,101.9,30
0,27.3,27.6,0.989130435,161,341,40,102.1,28
0,29.9,29.8,1.003355705,147,343,40,103,28
0,29.9,30,0.996666667,160,331,42,102.5,32
0,30.5,30.1,1.013289037,160,337,41,103.1,30
0,31.1,31,1.003225806,162,344,42,106.2,28
0,28.8,28.5,1.010526316,161,342,40,102.7,32
0,30,29.8,1.006711409,160,339,40,103.8,30
0,26.8,26.5,1.011320755,148,325,40,101.8,28
0,29.9,29.8,1.003355705,162,336,43,103.3,30
1,17.9,16.8,1.06547619,206,330,41,54.9,26
1,21.2,19.2,1.104166667,212,326,40,62.4,28
1,20.8,20.7,1.004830918,213,322,40,61.9,28
1,20.1,19.2,1.046875,209,328,43,61.1,26
1,18.3,17.7,1.033898305,212,324,41,56.5,26
1,19.4,18.3,1.06010929,206,322,40,66.9,28
1,19.2,18.3,1.049180328,225,326,40,69.1,28
1,20.5,20.3,1.009852217,209,330,38,73.6,28
1,18.9,18.3,1.032786885,224,325,40,69.6,28
1,23.5,23.2,1.012931034,204,316,40,70.2,30
1,18,16.2,1.111111111,205,322,36,54.3,30
1,18.5,18.2,1.016483516,215,320,40,57.4,26
1,20.3,19.4,1.046391753,220,321,38,61.5,28
1,18.5,18.1,1.022099448,221,324,40,58.1,29
1,17.5,18.2,0.961538462,219,326,40,56.2,28
1,18.6,18.8,0.989361702,215,314,41,59.4,30
1,23,22,1.045454545,222,325,40,72.8,32
1,18.2,17.5,1.04,220,327,40,55.7,28
1,19.5,18,1.084821,209,328,40,69.3,26
1,20.4,19.9,1.025853,211,325,41,63.1,28
2,5.5,5,1.1,115,295,40,16.8,8
2,6.5,5.3,1.226415094,120,325,59,18.6,8
2,4.3,4.3,1,125,295,50,13.3,6
2,4.7,4.1,1.146341463,115,310,60,13.1,4
2,4.4,4.1,1.073170732,120,290,48,13,9
2,4.9,5.1,0.960784314,136,302,44,17.3,8
2,5.3,5.2,1.019230769,121,317,48,18.1,8
2,4.3,4.6,0.934782609,118,299,45,13.8,7
2,4.9,5.1,0.960784314,135,307,47,17.4,6
2,5.1,5,1.02,119,301,46,17.7,8
2,4.4,4.7,0.936170213,130,312,43,16.3,8
2,4.6,4.6,1,132,298,49,14.2,7
2,4.8,4.9,0.979591837,127,304,51,17,8
2,4.9,4.6,1.065217391,125,302,46,15.2,8
2,5.2,4.9,1.06122449,124,299,43,17.4,8
2,4.4,4.2,1.047619048,119,303,49,13.5,8
2,4.8,4.1,1.170731707,121,317,48,13.4,7
2,4.6,4.3,1.069767442,131,302,51,14.8,6
2,5.4,5.2,1.038461538,127,305,42,18.3,6
2,5.6,5.3,1.056603774,123,307,46,16.9,8
